user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
GBFM,2 months ago,1561467550276,"I met this girl late last year
She said don't you worry if I disappear
I told her I'm not really looking for another mistake
I called an old friend thinking that the trouble would wait
But then I jump right in
A week later returned, I reckon she was only looking for a lover to burn
But I gave her my time for two or three nights
Then I put it on pause 'til the moment was right

I went away for months until our paths crossed again
She told me I was never looking for a friend
Maybe you could swing by my room around 10
Baby bring a lemon and a bottle of gin
We'll be in between the sheets 'til the late AM
Baby if you wanted me then you should've just said
She's singing
Ah lahmlahlah

Don't fuck with my love
That heart is so cold
All over my home
I don't wanna know that babe
Ah lahmlahlah
Don't fuck with my love
I told her she knows
Take aim and reload
I don't wanna know that babe
Ah lahmlahlah

For a couple weeks I
Only want to see her
We drink away the days with a take-away pizza
Before a text message was the only way to reach her
Now she's staying at my place and loves the way I treat her
Singing out Aretha
All over the track like a feature
And never wants to sleep, I guess that I don't want to either
But me and her we make money the same way
Four cities, two planes the same day
Those shows have never been what it's about
But maybe we'll go together and just figure it out
I'd rather put on a film with you and sit on the couch
But we should get on a plane
Or we'll be missing it now
The way that things played out
When she was kissing him
How? I was confused about
She should figure it out while I'm sat here singing
Ah lahmlahlah

Don't fuck with my love
That heart is so cold
All over my home
I don't wanna know that babe
Ah lahmlahlah
Don't fuck with my love
I told her she knows
Take aim and reload
I don't wanna know that babe
Ah lahmlahlah

(knock, knock, knock)
on my hotel door
I don't even know if she knows what for
She was crying on my shoulder
I already told ya
Trust and respect is what we do this for
I never intended to be next
But you didn't need to take him to bed that's all
And I never saw him as a threat
Until you disappeared with him to have sex of course
It's not like we were both on tour
We were staying on the same fucking hotel floor
And I wasn't looking for a promise or commitment
But it was never just fun and I thought you were different
This is not the way you realize what you wanted
It's a bit too much, too late if I'm honest
All this time God knows I'm singing
Ah lahmlahlah

Don't fuck with my love
That heart is so cold
All over my home
I don't wanna know that babe
Ah lahmlahlah
Don't fuck with my love
I told her she knows
Take aim and reload
I don't wanna know that babe
Ah lahmlahlah

these girls ain't loyal
that heart is soo cold
this girl ain't loyal

Shorty get down, good Lord
Baby got 'em open all over town
Strictly biz she don't play around
Cover much grounds
Got game by the pound
Getting paid is her forte
Each and every day true player way
I can't get her outta my mind
I think about the girl all the time
East side to the west side
Push your fat rides it's no surprise
She got tricks in the stash
Stacking up the cash
Fast when it comes to the gas
She's on when she's got to have it
Baby you're a perfect 10,
I wanna get in
Can I get down so I can win

I like the way you work it (no diggity)
I got to bag it up
I like the way you work it (no diggity)
I got to bag it up (bag it up girl)
I like the way you work it (no diggity)
I got to bag it up (bag it up)
I like the way you work it (no diggity)
I got to bag it up

Top Dogg, bite em all, nigga burn the shit up
D-P-G-C my nigga turn that shit up
C-P-T, L-B-C, yeah we hookin back up
And when they bang this in the club baby you got to get up
Thug niggaz drug dealers yeah they givin it up
Lowlife, yo' life, boy we livin it up
Takin chances while we dancin in the party fo' sho'
Slip my hoe a forty-fo' and she got in the back do'
Bitches lookin at me strange but you know I don't care
Step up in this motherfucker just a-swangin my hair",0,true,1,,,,,
,,,,,,,GBFM,2 months ago,1561467550538,"Bitch quit talkin, quick walk if you down with the set
Take a bullet with some dick and take this dope from this jet
Out of town, put it down for the Father of Rap
And if yo' ass get cracked, bitch shut yo' trap
Come back, get back, that's the part of success
If you believe in the S you'll be relievin your stress

La-da-da-da-dahh
It's the motherfuckin D.R.E. (snoop doooooog)
La-da-da-da-dahhh
You know I'm mobbin with the D-O-double-G

eyo eyo eyo eyoooooo

But then you were one as well
And I could play a guitar
Just like ringing a bell
Sometimes I wonder
In any other summer could you have been my part time lover
To me listening to Stevie Wonder
Under the covers where we used to lay
And re: stacks is what the speakers played
I'd be on tour almost every day
When I was home up in my flat is where we used to stay

Just watching the DVD, smoking illegal weed
Getting high as two kites when we needed to breathe
We used each other's air just for the people to see
And stayed up all night like when we needed to sleep
We'd go anywhere, our minds would take us
And I said you are beautiful without your make-up
And you don't even need to worry about your weight cause
We can all be loved the way that God made us
And time's the only reason that we could break up
Cause you would always tell me I'm away too much
Distance is relative to the time that it takes to get on a plane
Or make a mistake, say it again

Oh Nina
You should go Nina
'Cause I ain't never coming home
Nina oh, won't you leave me now
And I've been living on the road Nina
But then again you should know Nina
Cause that's you and me both
Nina oh, won't you leave me now
Now

And every weekend in the winter
You'd be wearing my hoodie
With draw strings pulled tight
To keep your face from the cold
Taking day trips to the local
Where we'd eat on our own
Cause every day when I was away
We'd only speak on the phone

Watching Blue Planet
Creating new habits
Then as if we were two rabbits
And then you'd vanish back to the barb with all the Celtics
I disappear
You call me selfish, I understand
But I can't help it
I put my job over everything
Except my family and friends
But you'll be in between forever
So I guess we'll have to take a step back
Overlook the situation
Cause mixing business and feelings will only lead to complications
And I'm not saying we should be taking a break
Just re-evaluating quick before we make a mistake and it's too late
So we can either deal with the pain or wait to get on the plane
But in a day we'll have to say it again

Oh Nina
You should go Nina
'Cause I ain't never coming home
Nina oh, won't you leave me now
And I've been living on the road Nina
But then again you should know Nina
Cause that's you and me both Nina
Uh won't you leave me now
Now

Love will come and love will go
But you can make it on your own
Sing that song, go, oh won't you leave me now
People grow, and fall apart
But you can mend your broken heart
Take it back, go, oh won't you leave me now

Oh Nina
You should go Nina
'Cause I ain't never coming home
Nina oh, won't you leave me now
And I've been living on the road Nina
And then again you should know Nina
Cause that's you and me
Both in a road, won't you leave me now
Now",0
dan,2 months ago,1561467550279,Id love to see him live like this. Who hurt you Ed? Come on who was it 😂,0,false,0,,,,,
ZOTIC,2 months ago,1561467550281,"6:41 that yell tho ..""Yihuuu!"" always gets me lol",0,false,0,,,,,
Elena Smallwood,2 months ago,1561467550283,❤️❤️,0,false,0,,,,,
Joshua Bradley Nanat,2 months ago,1561467550285,We have Ellie Goulding to thank for this masterpiece of a song. Cheers 👏👏,0,false,0,,,,,
Mario Cristales-Mendoza,2 months ago,1561467550286,I guess this is why he got a standing ovation when Jaime foxx took him to a club to perform when he was staying at his pad. ( Jamie shared the story on a graham norton interview). Awesome !,0,false,0,,,,,
TJ,2 months ago,1561467551233,"This is absolutely amazing man.. even though the chords are the same, the mashup and concentration he is exhibiting is incredible. He got the crowd to vibe to his music, which every artist should strive to do. This is an amazing performance. Such a talented artist!",0,false,0,,,,,
주희종,2 months ago,1561467551235,I was tryna make same sound just like as he plays the whole song. So I analyzed the way he strum and mutes but couldn’t make the same but now i know why because he’s just genius himself and there’s was a BLOODY FXCKIN CAJON BACK IN THE STAGE LOL,0,false,0,,,,,
Something Clever,2 months ago,1561467551236,"You know your song is a classic when 20 years later ppl hear half a bar from it and start singing every lyric lol

No Diggity
No Doubt",0,false,0,,,,,
Brandon Yu,2 months ago,1561467551238,When you paid to hear him sing and the crowd won’t shut up.,0,true,1,,,,,
,,,,,,,LotusLatte,1 month ago,1564059551487,Brandon Yu lol but he said to help him out,0
Damian Villaraldo,2 months ago,1561467551241,DOES ANY ONE THE ACTUAL OFFICIAL CHORDS?  i KNOW THEY REPEAT THROUGH ALL THE SONGS BUT ANYONE PLEASE,0,false,0,,,,,
GHOST,2 months ago,1561467551243,What chords does he use,0,false,0,,,,,
The Truth,2 months ago,1561467551245,I used to watch him back in my hometown South West London,0,false,0,,,,,
James McNulty,3 months ago,1558789151247,3:29 - 3:35 what is that face in the bottom right ?! I can'ttttt haha,0,false,0,,,,,
Chris Wilson,3 months ago,1558789151249,I would have been on one if I was there,0,false,0,,,,,
Dja Ber,3 months ago,1558789151251,😍😍,0,false,0,,,,,
We'llDoItAll,3 months ago,1558789151253,At 4:52 if you listen carefully there is a police siren going on which so perfectly fits with the song and the beat at that point of time.,2,false,0,,,,,
chafik souna,3 months ago,1558789151254,I didnt get here by accident,0,false,0,,,,,
SpaceMonkey033,3 months ago,1558789151256,that's a 10/10 performance if I ever seen one,0,false,0,,,,,
Michael,3 months ago,1558789151258,2019 someone?,2,false,0,,,,,
Joel Gomez,3 months ago,1558789151260,eds guitar is so awsome i want ittttt.,0,false,0,,,,,
Anthony Sainty,3 months ago,1558789151262,U read me I need no protection x hey baby b love red,0,false,0,,,,,
Anthony Sainty,3 months ago,1558789151264,BAH NONE U,0,false,0,,,,,
Anthony Sainty,3 months ago,1558789151266,"YOU LIKE THE SMELL OF BIG A. OH I MEAN BIGGEE 2,pac wit me x lol blueboy. FUCKIN GENIOUS A X",0,false,0,,,,,
Anthony Sainty,3 months ago,1558789151268,I BACK AND YOU THAT PMSL X,0,false,0,,,,,
Anthony Sainty,3 months ago,1558789151270,HATE THEN LOVE COMES NEXT. AVIN BAD DAY BABY BUT NOTHING CANT HANDLE. LOTS OF LOVE MILLIE BON BONS X,0,false,0,,,,,
Anthony Sainty,3 months ago,1558789152118,DO YOU REALLY HATE HER THAT MUCH,0,false,0,,,,,
arara,3 months ago,1558789152120,How can I once in my life be in such cool crowd like this ?,0,false,0,,,,,
# Shishwithguitar,3 months ago,1558789152122,"Don’t fuck with my love, I told her she’ss knows take aim and reload I don’t what that babe, la, la, la, la, laaaa!!!!!!",0,false,0,,,,,
Mustty DD,3 months ago,1558789152124,Cant get enough of this video,0,false,0,,,,,
wanda blevins,4 months ago,1556197152125,HE LEFT ME COMPLETELY BREATHLESS!!!!  But DAYYYUMMM DID I LUV IT 💋,0,false,0,,,,,
Orino Zubasa,4 months ago,1556197152127,It's 2019 and still doup!,0,false,0,,,,,
Jesus Javier Moreno Palma,4 months ago,1556197152129,Nina   5:40,0,false,0,,,,,
Niamh Docherty,4 months ago,1556197152131,Everytime I come to this video i want to set up a new youtube account just to like it again...,0,false,0,,,,,
Yuki_SF,4 months ago,1556197152133,"Raw emotion, pure talent, no bragging. Masterclass is an understatement for this beautiful craft by both Ed and the audience :) love the warmth I felt throughout the performance!",1,false,0,,,,,
zack s,4 months ago,1556197152135,What kind of soulless loser would thumb this video down??,0,false,0,,,,,
Frances Deleon,4 months ago,1556197152137,Just love Ed Sheeran! Love this jam....,0,false,0,,,,,
Chilling Guy,4 months ago,1556197152139,"Shorty get down, good lord
Baby got 'em up open all over town
Strictly biz, she don't play around
Cover much ground, got game by the pound
Getting paid is her forte
Each and every day, true player way
I can't get her out of my mind
I think about the girl all the time
East side to the west side
Pushin' phat rides, it's no surprise
She got tricks in the stash
Stacking up the cash
Fast when it comes to the gas
By no means average
She's on when she's got to have it
Baby, you're a perfect ten, I wanna get in
Can I get down, so I can win
I like the way you work it
No diggity, I got to bag it up, bag it up
I like the way you work it
No diggity, I got to bag it up, bag it up
I like the way you work it
No diggity, I got to bag it up, bag it up
I like the way you work it
No diggity, I got to bag it up, bag it up
She's got class and style
Street knowledge by the pound
Baby never act wild, very low key on the profile
Catchin' feelings is a no
Let me tell you how it goes
Curve's the words, spins the verbs
Lovers it curves so freak what you heard
Rollin' with the phatness
You don't even know what the half is
You gotta pay to play
Just for shorty, bang-bang, to look your way
I like the way you work it
Trumped tight all day, every day
You're blowing my mind, maybe in time
Baby, I can get you in my ride
I like the way you work it
No diggity, I got to bag it up, bag it up
I like the way you work it
No diggity, I got to bag it up, bag it up
I like the way you work it
No diggity, I got to bag it up, bag it up
I like the way you work it
No diggity, I got to bag it up, bag it up",0,false,0,,,,,
Kevin Lebelauw,4 months ago,1556197152141,GOD i know ed sheerans got talent but that crowd was just as lit🔥🔥,0,false,0,,,,,
Richard Andrew,4 months ago,1556197152142,2019 ???,0,false,0,,,,,
Te Maia Gage-Gray,4 months ago,1556197152144,excellent steady hand,0,false,0,,,,,
TamerLancе,4 months ago,1556197152146,"4:14 I so wanted to sing:'Hey yo hey yo hey yo, hey oh, Damn that girl looks good' but it wasn't😒",1,false,0,,,,,
Anthony sainty,4 months ago,1556197152148,I think he is funny as fuck,0,false,0,,,,,
hh h,4 months ago,1556197152150,Please don’t delete this forever,2,true,1,,,,,
,,,,,,,R King,4 months ago,1556197152388,if aliens came to earth i would show them this first,1
Matthew Leonas,5 months ago,1553518752153,Send me guitar chords some one please,0,false,0,,,,,
Leon Schaffers,5 months ago,1553518752154,"Shit I sometimes forget just how great some artists are, im amazed by this time after time again",0,false,0,,,,,
Mouiz Eddine Kisma,5 months ago,1553518753035,"4 years and i still love listening to this video, what an artist!",1,false,0,,,,,
Anthony sainty,5 months ago,1553518753038,Ye,0,true,7,,,,,
,,,,,,,Anthony sainty,5 months ago,1553518753366,Hey baby,0
,,,,,,,Anthony sainty,5 months ago,1553518753368,Wanna meet my fam,0
,,,,,,,Anthony sainty,5 months ago,1553518753369,Don't m.b I'm whitney,0
,,,,,,,Anthony sainty,5 months ago,1553518753371,Jeus,0
,,,,,,,Anthony sainty,5 months ago,1553518753373,I'm no Ellie mae I'm nina,0
,,,,,,,Anthony sainty,5 months ago,1553518753381,I look after mwah x,0
,,,,,,,Anthony sainty,5 months ago,1553518753382,U got my tat,0
Anthony sainty,5 months ago,1553518753041,Big 4 ...,0,false,0,,,,,
Anthony sainty,5 months ago,1553518753043,I know..taught u well,0,false,0,,,,,
Anthony sainty,5 months ago,1553518753045,She up on ammo,0,false,0,,,,,
Anthony sainty,5 months ago,1553518753047,Cold as ice m.j,0,false,0,,,,,
Anthony sainty,5 months ago,1553518753049,🌹,0,false,0,,,,,
Anthony sainty,5 months ago,1553518753051,Hey m.f,0,false,0,,,,,
D Bottle,5 months ago,1553518753053,He really is in a league to his own! 🙌,0,false,0,,,,,
Valentim,5 months ago,1553518753056,"8:48 Que falsete é esse, véi? MEU DEUS! ❤️🤦🏻‍♂️",0,false,0,,,,,
Caah Lobato,5 months ago,1553518753058,amazing ❤️,1,false,0,,,,,
Anthony sainty,5 months ago,1553518753060,Sexy,0,false,0,,,,,
Veronica Skoneczny,5 months ago,1553518753063,Keep coming back after discovering this 4 years ago. After seeing him 3 times. Never fails to amaze me,3,false,0,,,,,
Nonstop Nolan,5 months ago,1553518753065,Does anyone know how to play his version of it on guitar all these tabs I see look nothing like what he plays,0,false,0,,,,,
Tiago Fainha,5 months ago,1553518753067,2019 anyone?!,1,false,0,,,,,
D' press,5 months ago,1553518753069,Am i the only shit that still loving this video on 2019?,1,false,0,,,,,
Alex vas,6 months ago,1551099553071,What an artist!,1,false,0,,,,,
aaron madavaram,6 months ago,1551099553074,How could you dislike this,0,false,0,,,,,
Erik Aadalen,6 months ago,1551099553076,The lizard design on the neck of the guitar matches the tattoo on his right forearm,0,false,0,,,,,
xWrath Gaming,6 months ago,1551099553078,Why is this at VGOD unboxing playlist? 😂,0,false,0,,,,,
Radhakrishna Nelapatla,6 months ago,1551099554047,one man band!,0,false,0,,,,,
Carmine Trezza,6 months ago,1551099554049,2/14/2019 still listening. That is a bad man right there,1,false,0,,,,,
Jasmin . A,6 months ago,1551099554051,3:28 is that Lana Del Rey lurking in the corner?,0,false,0,,,,,
Jan Blahník,6 months ago,1551099554053,love it,1,false,0,,,,,
Kate McCann,6 months ago,1551099554055,A few years ago this was the first video I saw of Ed live which made me love him and become a Sheerio ❤️,3,false,0,,,,,
Pippy Amorin,6 months ago,1551099554057,He's a story teller! Catching their attention from beginning to end. Awesome!,1,false,0,,,,,
doubletriplefull1,6 months ago,1551099554059,2019?,2,false,0,,,,,
Turn-the-way 11,6 months ago,1551099554061,The guy behind Ed looks a lot alike Mark Walhberg,1,true,1,,,,,
,,,,,,,Conor Donovan,3 months ago,1558789154336,"Never heard that said about me before, but I'll take it ;)",0
Trang Pham,7 months ago,1548421154063,i love this intimate and stripped down acoustic music setting - would be great to be an audience,0,false,0,,,,,
Vincent Smit,7 months ago,1548421154065,https://tabs.ultimate-guitar.com/tab/ed_sheeran/dont_loyal_no_diggity_the_next_episode_nina_chords_1870375 thank me later,2,false,0,,,,,
Macmillan mitir,7 months ago,1548421154067,He knows the guitar better than me knowing what 2+2=,0,false,0,,,,,
Jonathan Thomas,7 months ago,1548421154069,January 2019!,1,false,0,,,,,
Nicool333,7 months ago,1548421154071,This is a legit set,0,false,0,,,,,
BrahemProductions Entertainment,7 months ago,1548421154073,"This is insane , I never get bored of this",5,true,1,,,,,
,,,,,,,Olya Bojukyan,7 months ago,1548421154374,BrahemProductions Entertainment Me too,0
salah bakiri,7 months ago,1548421154075,watch my version guitar with some edit using fl studio i hope u like it  https://www.youtube.com/watch?v=5m1i_iZibiU 2019,0,false,0,,,,,
Kaitlin McNeely,7 months ago,1548421154077,HE KILLED IT SINGING NO DIGGITY!,0,false,0,,,,,
Cla!re H,7 months ago,1548421154079,5:27 is when nina starts 🤧💞,1,false,0,,,,,
Ethan H,8 months ago,1545742754081,I watch this eleventeen times a day,2,false,0,,,,,
Elle Lipa,8 months ago,1545742754083,Ugh he is so perfect.,1,false,0,,,,,
Karthik kumar,8 months ago,1545742754085,Ed is the ideal musician........plays guitar.......raps .......makes his own beat........writes his own music.........daaaaaaammn,4,false,0,,,,,
mohamed mm,8 months ago,1545742754993,😍❤,0,false,0,,,,,
RavenWestD,8 months ago,1545742754995,I have a ton more respect for this man now.,2,false,0,,,,,
Jose Wui,8 months ago,1545742754998,He needs to do another performance with that cajun guy😂,0,false,0,,,,,
algoAzrael,8 months ago,1545742755001,"I for no reason I can explain am crying....

???
Ok then.",0,false,0,,,,,
HanginWithSnakes,8 months ago,1545742755003,I just learned this on geetar!,0,false,0,,,,,
marcin twoja stara,8 months ago,1545742755005,nobody talking about the crowd Amazing involement ;),0,false,0,,,,,
Bpt11,8 months ago,1545742755007,Where is thrift shop man,0,false,0,,,,,
Willy Kuo,8 months ago,1545742755009,"OMG , dude, this is so damn good acoustic version , ed's voice to sing all these mash-ups just so groovy , damn !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",0,false,0,,,,,
Jose Wui,8 months ago,1545742755011,he’s got fucking bars!,0,false,0,,,,,
Inés Martínez,8 months ago,1545742755013,"I love this man so much, I can't believe I'm seeing him live next year I'm so excited!!",1,false,0,,,,,
Bruce Willson,8 months ago,1545742755016,Never seen an entertainer better at getting the crowd involved!,1,false,0,,,,,
SKRT,8 months ago,1545742755017,Still one of my most favorite performances I ever saw (unfortunately not live),1,false,0,,,,,
dod 2021,8 months ago,1545742755019,the god of music,0,false,0,,,,,
Mika Spilioti,8 months ago,1545742755022,"He’s a king❤️

And that laugh at 4:47 😍",0,false,0,,,,,
Guillaume Richard,9 months ago,1543150755024,Real artist...all i have to say...,0,false,0,,,,,
Arturia-Leaf Green,9 months ago,1543150755026,i love the audience they're killer really got into it,0,false,0,,,,,
Talal Nadi,9 months ago,1543150755028,"3:26
Ed sheeran #god_mode 🔥🔥🔥
This is legendary performance",0,false,0,,,,,
Alice Campana,9 months ago,1543150755030,I’m so chilled thank to him,0,false,0,,,,,
donte mckay,9 months ago,1543150755038,4:58,0,false,0,,,,,
HanginWithSnakes,9 months ago,1543150755040,"I've about got this song down. Chords are easy, it's just syncing the vocals with the rhythm.",0,false,0,,,,,
Dan Dan,9 months ago,1543150755687,Of course this was in Dublin,0,false,0,,,,,
Magdalena Owczarz,9 months ago,1543150755689,I saw that 1000 times and I just noticed the guy in the back xD,0,false,0,,,,,
Pablo Moreno Arriagada,9 months ago,1543150755691,He's definitely on some good shit,0,false,0,,,,,
인생 뭐 있냐하,9 months ago,1543150755693,still 2018 lol shoot,0,false,0,,,,,
인생 뭐 있냐하,9 months ago,1543150755695,2018 anyone?,0,false,0,,,,,
Julia Battishill,10 months ago,1540472355697,it is shameful how many times I've listened to this. Like. I know where the transitions between songs are seamlessly with my eyes closed. its bad.,2,false,0,,,,,
office gamer,10 months ago,1540472355699,chords ???????,0,true,1,,,,,
,,,,,,,Daniel Malbet Omo,10 months ago,1540472355967,F#m - C#m - D - E - Repeat ;),0
Tarik Mirza,10 months ago,1540472355702,My family doctor recommended me to watch every day,4,false,0,,,,,
Kate McCann,10 months ago,1540472355704,The next episode starts at 4:20 ... 🔥,1,false,0,,,,,
zhleia,10 months ago,1540472355708,still watching this,0,false,0,,,,,
